Date,Month/Day,Total Trips,Total Miles Traveled,Total Annual Members (All Time),24-Hour Passes Purchased,3-Day Passes Purchased,Month,Weekday Name,Day Number,Year,Day
2019-04-01,4/1,51399,75072,303223,1466,76,4,Monday,0,2019,1
2019-04-02,4/2,57903,83399,303386,1483,73,4,Tuesday,1,2019,2
2019-04-03,4/3,67924,108780,303552,3013,79,4,Wednesday,2,2019,3
2019-04-04,4/4,66403,104268,303699,2633,87,4,Thursday,3,2019,4
2019-04-05,4/5,34470,46930,303766,812,46,4,Friday,4,2019,5
2019-04-06,4/6,66532,143054,303958,8852,139,4,Saturday,5,2019,6
2019-04-07,4/7,64713,138291,304216,8191,87,4,Sunday,6,2019,7
2019-04-08,4/8,70514,123304,304525,3804,89,4,Monday,0,2019,8
2019-04-09,4/9,59336,86248,304677,1684,79,4,Tuesday,1,2019,9
2019-04-10,4/10,70988,112985,304865,2845,116,4,Wednesday,2,2019,10
2019-04-11,4/11,62430,93232,305003,2222,93,4,Thursday,3,2019,11
2019-04-12,4/12,58010,92517,305134,2811,118,4,Friday,4,2019,12
2019-04-13,4/13,71500,159264,305362,10443,128,4,Saturday,5,2019,13
2019-04-14,4/14,58474,123470,305584,7263,119,4,Sunday,6,2019,14
2019-04-15,4/15,45663,71673,305722,1816,75,4,Monday,0,2019,15
2019-04-16,4/16,63323,106799,305906,3197,134,4,Tuesday,1,2019,16
2019-04-17,4/17,65249,109668,306077,3276,89,4,Wednesday,2,2019,17
2019-04-18,4/18,61568,98909,306205,2845,104,4,Thursday,3,2019,18
2019-04-19,4/19,64939,120796,306365,5782,271,4,Friday,4,2019,19
2019-04-20,4/20,36785,68489,306453,4049,115,4,Saturday,5,2019,20
2019-04-21,4/21,51869,114490,306647,7439,140,4,Sunday,6,2019,21
2019-04-22,4/22,44112,71869,306827,3426,69,4,Monday,0,2019,22
2019-04-23,4/23,75443,143334,307082,5928,202,4,Tuesday,1,2019,23
2019-04-24,4/24,77736,144473,307320,5868,135,4,Wednesday,2,2019,24
2019-04-25,4/25,60834,101124,307484,3569,114,4,Thursday,3,2019,25
2019-04-26,4/26,37121,55000,307578,1387,76,4,Friday,4,2019,26
2019-04-27,4/27,56442,111440,307737,7022,151,4,Saturday,5,2019,27
2019-04-28,4/28,41204,68976,307862,3338,87,4,Sunday,6,2019,28
2019-04-29,4/29,60801,98707,308020,2829,104,4,Monday,0,2019,29
2019-04-30,4/30,62668,99225,308192,2715,94,4,Tuesday,1,2019,30
2019-05-01,5/1,60904,93434,308383,2285,106,5,Wednesday,2,2019,1
2019-05-02,5/2,68714,115573,308575,3763,171,5,Thursday,3,2019,2
2019-05-03,5/3,62410,100885,308738,3452,151,5,Friday,4,2019,3
2019-05-04,5/4,56025,114113,308919,7286,110,5,Saturday,5,2019,4
2019-05-05,5/5,16169,25232,308988,802,16,5,Sunday,6,2019,5
2019-05-06,5/6,69920,121887,309187,4178,166,5,Monday,0,2019,6
2019-05-07,5/7,72829,126637,309356,4055,124,5,Tuesday,1,2019,7
2019-05-08,5/8,76398,130821,309530,4255,131,5,Wednesday,2,2019,8
2019-05-09,5/9,66689,105721,309646,2851,130,5,Thursday,3,2019,9
2019-05-10,5/10,68044,114830,309790,4427,163,5,Friday,4,2019,10
2019-05-11,5/11,69788,153674,310021,10581,133,5,Saturday,5,2019,11
2019-05-12,5/12,10730,15759,310063,475,9,5,Sunday,6,2019,12
2019-05-13,5/13,22300,29434,310141,553,19,5,Monday,0,2019,13
2019-05-14,5/14,42783,61756,310248,1301,73,5,Tuesday,1,2019,14
2019-05-15,5/15,74314,129217,310395,4484,140,5,Wednesday,2,2019,15
2019-05-16,5/16,77889,139278,310590,5354,174,5,Thursday,3,2019,16
2019-05-17,5/17,72118,126992,310760,5124,167,5,Friday,4,2019,17
2019-05-18,5/18,73143,162302,310992,11292,227,5,Saturday,5,2019,18
2019-05-19,5/19,69920,154638,311245,10321,193,5,Sunday,6,2019,19
2019-05-20,5/20,74494,133696,311495,5225,173,5,Monday,0,2019,20
2019-05-21,5/21,79261,139284,311686,5088,160,5,Tuesday,1,2019,21
2019-05-22,5/22,82021,144186,311888,5431,153,5,Wednesday,2,2019,22
2019-05-23,5/23,56578,93244,312082,3527,121,5,Thursday,3,2019,23
2019-05-24,5/24,74866,141169,312276,7322,245,5,Friday,4,2019,24
2019-05-25,5/25,59492,136772,312484,10682,279,5,Saturday,5,2019,25
2019-05-26,5/26,49950,118192,312648,9325,145,5,Sunday,6,2019,26
2019-05-27,5/27,66595,160750,312896,12124,136,5,Monday,0,2019,27
2019-05-28,5/28,59435,97330,313092,2992,96,5,Tuesday,1,2019,28
2019-05-29,5/29,55098,87647,313251,2952,111,5,Wednesday,2,2019,29
2019-05-30,5/30,52484,84325,313402,2831,129,5,Thursday,3,2019,30
2019-05-31,5/31,83347,156832,313606,7586,261,5,Friday,4,2019,31
2019-06-01,6/1,76416,164956,313815,12153,214,6,Saturday,5,2019,1
2019-06-02,6/2,67288,147247,314051,10419,144,6,Sunday,6,2019,2
2019-06-03,6/3,77678,141960,314327,6027,152,6,Monday,0,2019,3
2019-06-04,6/4,83301,150076,314642,6422,168,6,Tuesday,1,2019,4
2019-06-05,6/5,78791,134998,314889,5166,143,6,Wednesday,2,2019,5
2019-06-06,6/6,81323,143619,315121,6138,183,6,Thursday,3,2019,6
2019-06-07,6/7,82908,150312,315337,7530,256,6,Friday,4,2019,7
2019-06-08,6/8,78074,175352,315583,13831,206,6,Saturday,5,2019,8
2019-06-09,6/9,73954,167597,315861,12833,121,6,Sunday,6,2019,9
2019-06-10,6/10,37019,54769,316007,1566,44,6,Monday,0,2019,10
