Date,Month/Day,Total Trips,Total Miles Traveled,Total Annual Members (All Time),24-Hour Passes Purchased,3-Day Passes Purchased,Month,Weekday Name,Day Number,Year,Day,Average Miles per Trip
2018-04-01,4/1,33148,94040,257811,2363,264,4,Sunday,6,2018,1,2.836973573066248
2018-04-02,4/2,22062,50418,257889,297,20,4,Monday,0,2018,2,2.2852869186837097
2018-04-03,4/3,25883,59477,257942,189,21,4,Tuesday,1,2018,3,2.2979175520611985
2018-04-04,4/4,36755,80049,258025,611,48,4,Wednesday,2,2018,4,2.1779077676506597
2018-04-05,4/5,39814,87382,258086,972,112,4,Thursday,3,2018,5,2.194755613603255
2018-04-06,4/6,35624,83643,258143,918,101,4,Friday,4,2018,6,2.347939591286773
2018-04-07,4/7,33245,79955,258231,1661,129,4,Saturday,5,2018,7,2.405023311776207
2018-04-08,4/8,28410,67056,258324,1271,75,4,Sunday,6,2018,8,2.3602956705385427
2018-04-09,4/9,40509,87612,258423,614,62,4,Monday,0,2018,9,2.1627786417833073
2018-04-10,4/10,43051,89629,258498,475,37,4,Tuesday,1,2018,10,2.081926087663469
2018-04-11,4/11,48612,104081,258599,894,114,4,Wednesday,2,2018,11,2.14105570640994
2018-04-12,4/12,53168,114400,258754,1095,146,4,Thursday,3,2018,12,2.151670177550406
2018-04-13,4/13,63503,150894,258926,3168,262,4,Friday,4,2018,13,2.376171204510023
2018-04-14,4/14,62595,185232,259171,7643,346,4,Saturday,5,2018,14,2.9592139947280134
2018-04-15,4/15,20440,58497,259252,525,21,4,Sunday,6,2018,15,2.8618884540117415
2018-04-16,4/16,26288,65284,259344,452,31,4,Monday,0,2018,16,2.483414485696896
2018-04-17,4/17,44689,104884,259470,589,85,4,Tuesday,1,2018,17,2.346975765848419
2018-04-18,4/18,51110,112664,259583,996,152,4,Wednesday,2,2018,18,2.204343572686363
2018-04-19,4/19,38298,79890,259704,407,52,4,Thursday,3,2018,19,2.086009713300956
2018-04-20,4/20,47049,101982,259820,1241,133,4,Friday,4,2018,20,2.167569980233374
2018-04-21,4/21,63594,179681,260015,3142,214,4,Saturday,5,2018,21,2.8254395068717173
2018-04-22,4/22,54282,149532,260257,5399,265,4,Sunday,6,2018,22,2.754725323311595
2018-04-23,4/23,57764,131224,260545,1976,191,4,Monday,0,2018,23,2.2717263347413614
2018-04-24,4/24,58523,126491,260740,1529,159,4,Tuesday,1,2018,24,2.1613895391555458
2018-04-25,4/25,31213,63086,260861,403,36,4,Wednesday,2,2018,25,2.021145035722295
2018-04-26,4/26,66074,150788,261062,2578,294,4,Thursday,3,2018,26,2.282107939582892
2018-04-27,4/27,39153,85566,261172,823,70,4,Friday,4,2018,27,2.185426404106965
2018-04-28,4/28,56735,158334,261434,6129,369,4,Saturday,5,2018,28,2.7907640786110868
2018-04-29,4/29,44825,130649,261651,3594,266,4,Sunday,6,2018,29,2.9146458449525934
2018-04-30,4/30,41074,91215,261874,751,66,4,Monday,0,2018,30,2.2207479183911962
2018-05-01,5/1,72035,173896,262154,3155,390,5,Tuesday,1,2018,1,2.4140487263135975
2018-05-02,5/2,76773,189852,262535,3270,329,5,Wednesday,2,2018,2,2.4729006291274276
2018-05-03,5/3,69053,165326,262816,2931,282,5,Thursday,3,2018,3,2.394189970023026
2018-05-04,5/4,71197,177291,263103,3595,360,5,Friday,4,2018,4,2.4901470567580093
2018-05-05,5/5,63325,167568,263371,6557,334,5,Saturday,5,2018,5,2.6461587050927755
2018-05-06,5/6,48993,120205,263632,3484,289,5,Sunday,6,2018,6,2.4535137672728755
2018-05-07,5/7,68915,156297,263992,2973,311,5,Monday,0,2018,7,2.2679677864035406
2018-05-08,5/8,74310,174749,264308,3046,356,5,Tuesday,1,2018,8,2.3516215852509754
2018-05-09,5/9,78454,183295,264589,3038,303,5,Wednesday,2,2018,9,2.336337216712978
2018-05-10,5/10,67454,153260,264852,2408,275,5,Thursday,3,2018,10,2.27206689002876
2018-05-11,5/11,75262,184114,265052,4240,314,5,Friday,4,2018,11,2.446307565570939
2018-05-12,5/12,34535,91563,265150,2227,92,5,Saturday,5,2018,12,2.6513102649486027
2018-05-13,5/13,25985,67247,265260,1237,58,5,Sunday,6,2018,13,2.587916105445449
