start station id,Station Name,start station latitude,start station longitude,Number of Starts 2018,Percentage of Total Starts 2018,end station id,end station latitude,end station longitude,Number of Ends 2018,Percentage of Total Ends 2018
519.0,Pershing Square North,40.751872999999996,-73.97770600000001,12026.0,26.26,519,40.751872999999996,-73.97770600000001,10637,13.83
497.0,E 17 St & Broadway,40.73704984,-73.99009296,8765.0,19.14,497,40.73704984,-73.99009296,8105,10.54
402.0,Broadway & E 22 St,40.740343200000005,-73.98955109,8747.0,19.1,402,40.740343200000005,-73.98955109,7930,10.31
435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,8269.0,18.05,435,40.74173969,-73.99415556,7718,10.04
3255.0,8 Ave & W 31 St,40.75058535,-73.99468482,7257.0,15.84,3255,40.75058535,-73.99468482,6395,8.32
281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,7144.0,15.6,281,40.764397100000004,-73.97371465,4835,6.29
285.0,Broadway & E 14 St,40.73454567,-73.99074142,7046.0,15.38,285,40.73454567,-73.99074142,6462,8.4
499.0,Broadway & W 60 St,40.76915505,-73.98191841,7043.0,15.38,499,40.76915505,-73.98191841,5665,7.37
477.0,W 41 St & 8 Ave,40.75640548,-73.9900262,6717.0,14.67,477,40.75640548,-73.9900262,5839,7.59
2006.0,Central Park S & 6 Ave,40.76590936,-73.97634151,6538.0,14.28,2006,40.76590936,-73.97634151,5181,6.74
382.0,University Pl & E 14 St,40.73492695,-73.99200509,6467.0,14.12,382,40.73492695,-73.99200509,6196,8.06
490.0,8 Ave & W 33 St,40.751551,-73.993934,6426.0,14.03,490,40.751551,-73.993934,5697,7.41
426.0,West St & Chambers St,40.71754834,-74.01322069,6350.0,13.86,426,40.71754834,-74.01322069,6011,7.82
358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,5999.0,13.1,358,40.73291553,-74.00711384,5475,7.12
293.0,Lafayette St & E 8 St,40.73020661,-73.99102628,5973.0,13.04,293,40.73020661,-73.99102628,5560,7.23
523.0,W 38 St & 8 Ave,40.75466591,-73.99138152,5960.0,13.01,523,40.75466591,-73.99138152,5261,6.84
368.0,Carmine St & 6 Ave,40.73038599,-74.00214988,5924.0,12.93,368,40.73038599,-74.00214988,5668,7.37
457.0,Broadway & W 58 St,40.76695317,-73.98169333,5855.0,12.78,457,40.76695317,-73.98169333,4712,6.13
514.0,12 Ave & W 40 St,40.76087502,-74.00277668,5757.0,12.57,514,40.76087502,-74.00277668,5132,6.67
432.0,E 7 St & Avenue A,40.72621788,-73.98379855,5754.0,12.56,432,40.72621788,-73.98379855,4593,5.97
229.0,Great Jones St,40.72743423,-73.99379025,5668.0,12.38,229,40.72743423,-73.99379025,5287,6.88
387.0,Centre St & Chambers St,40.71273266,-74.0046073,5570.0,12.16,387,40.71273266,-74.0046073,4899,6.37
3263.0,Cooper Square & Astor Pl,40.72951496,-73.9907527,5534.0,12.08,3263,40.72951496,-73.9907527,5590,7.27
482.0,W 15 St & 7 Ave,40.73935542,-73.99931783,5476.0,11.96,482,40.73935542,-73.99931783,5213,6.78
492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,5443.0,11.88,492,40.75019995,-73.99093085,4757,6.19
359.0,E 47 St & Park Ave,40.75510267,-73.97498696,5442.0,11.88,359,40.75510267,-73.97498696,4491,5.84
505.0,6 Ave & W 33 St,40.74901271,-73.98848395,5430.0,11.86,505,40.74901271,-73.98848395,4958,6.45
151.0,Cleveland Pl & Spring St,40.72210379,-73.99724901,5352.0,11.69,151,40.72210379,-73.99724901,4819,6.27
459.0,W 20 St & 11 Ave,40.746745000000004,-74.007756,5269.0,11.5,459,40.746745000000004,-74.007756,4981,6.48
3002.0,South End Ave & Liberty St,40.711512,-74.01575600000001,5246.0,11.45,3002,40.711512,-74.01575600000001,4831,6.28
168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,5207.0,11.37,168,40.73971301,-73.99456405,4731,6.15
465.0,Broadway & W 41 St,40.75513557,-73.98658032,5206.0,11.37,465,40.75513557,-73.98658032,4652,6.05
379.0,W 31 St & 7 Ave,40.749156,-73.9916,5169.0,11.29,379,40.749156,-73.9916,4732,6.15
504.0,1 Ave & E 16 St,40.73221853,-73.98165557,5125.0,11.19,504,40.73221853,-73.98165557,4639,6.03
