Date,Month/Day,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
4/1/18,4/1,33148,94040,257811,2363,264
4/2/18,4/2,22062,50418,257889,297,20
4/3/18,4/3,25883,59477,257942,189,21
4/4/18,4/4,36755,80049,258025,611,48
4/5/18,4/5,39814,87382,258086,972,112
4/6/18,4/6,35624,83643,258143,918,101
4/7/18,4/7,33245,79955,258231,1661,129
4/8/18,4/8,28410,67056,258324,1271,75
4/9/18,4/9,40509,87612,258423,614,62
4/10/18,4/10,43051,89629,258498,475,37
4/11/18,4/11,48612,104081,258599,894,114
4/12/18,4/12,53168,114400,258754,1095,146
4/13/18,4/13,63503,150894,258926,3168,262
4/14/18,4/14,62595,185232,259171,7643,346
4/15/18,4/15,20440,58497,259252,525,21
4/16/18,4/16,26288,65284,259344,452,31
4/17/18,4/17,44689,104884,259470,589,85
4/18/18,4/18,51110,112664,259583,996,152
4/19/18,4/19,38298,79890,259704,407,52
4/20/18,4/20,47049,101982,259820,1241,133
4/21/18,4/21,63594,179681,260015,3142,214
4/22/18,4/22,54282,149532,260257,5399,265
4/23/18,4/23,57764,131224,260545,1976,191
4/24/18,4/24,58523,126491,260740,1529,159
4/25/18,4/25,31213,63086,260861,403,36
4/26/18,4/26,66074,150788,261062,2578,294
4/27/18,4/27,39153,85566,261172,823,70
4/28/18,4/28,56735,158334,261434,6129,369
4/29/18,4/29,44825,130649,261651,3594,266
4/30/18,4/30,41074,91215,261874,751,66
5/1/18,5/1,72035,173896,262154,3155,390
5/2/18,5/2,76773,189852,262535,3270,329
5/3/18,5/3,69053,165326,262816,2931,282
5/4/18,5/4,71197,177291,263103,3595,360
5/5/18,5/5,63325,167568,263371,6557,334
5/6/18,5/6,48993,120205,263632,3484,289
5/7/18,5/7,68915,156297,263992,2973,311
5/8/18,5/8,74310,174749,264308,3046,356
5/9/18,5/9,78454,183295,264589,3038,303
5/10/18,5/10,67454,153260,264852,2408,275
5/11/18,5/11,75262,184114,265052,4240,314
5/12/18,5/12,34535,91563,265150,2227,92
5/13/18,5/13,25985,67247,265260,1237,58
5/14/18,5/14,64727,147144,265465,2553,273
5/15/18,5/15,52826,118790,265682,1949,186
5/16/18,5/16,32766,75694,265811,493,45
5/17/18,5/17,49788,107763,265936,1755,113
5/18/18,5/18,63112,146437,266075,2663,240
5/19/18,5/19,18026,45461,266135,639,53
5/20/18,5/20,56946,158983,266399,5458,304
5/21/18,5/21,71218,172936,266669,3551,267
5/22/18,5/22,48508,109420,266868,1090,103
5/23/18,5/23,72653,170812,267098,2952,294
5/24/18,5/24,74808,177631,267330,3417,294
5/25/18,5/25,69342,174715,267536,4381,336
5/26/18,5/26,51592,155957,267703,6129,417
5/27/18,5/27,25813,78075,267815,1631,82
5/28/18,5/28,49040,140226,268037,5148,267
5/29/18,5/29,69090,170334,268305,2896,249
5/30/18,5/30,72321,159297,268645,2742,216
5/31/18,5/31,55798,123710,268998,1414,101
6/1/18,6/1,62890,147780,269167,3049,250
6/2/18,6/2,60287,158528,269371,5634,307
6/3/18,6/3,50041,134416,269544,3892,154
6/4/18,6/4,58910,130774,269763,2372,166
6/5/18,6/5,71906,155007,269934,2682,199
6/6/18,6/6,69797,154726,270119,2479,173
6/7/18,6/7,70478,160532,270274,2808,198
6/8/18,6/8,72696,163188,270455,3915,283
6/9/18,6/9,65239,171623,270657,6917,292
6/10/18,6/10,41639,106867,270825,3136,112
